file_id	author	work_name	v18_rule	v18_group	v18_resource	v18_comment	verdict	score	group_sim	resource_sim	verbatim_sim	best_group	best_resource	best_rule	best_criteria	best_verbatim
tlg0627.tlg010.perseus-eng2	Hippocrates	The Art	Child labor in medicine	Children	Protection from use as medical counterweights	not clear to understand, maybe more verbatim could have been put together	GONE	0.174	0.0	0.5	0.08	Patients with compound limb dislocations	Protection from fatal medical intervention	Open dislocation reduction prohibition		
tlg0057.tlg010.perseus-eng2	Galen	On the Natural Faculties	Divinatory dismissal	Atomist philosophers	Right to participate in divinatory practices	not clear that there is a rejection	GONE	0.143	0.25	0.14	0.0	uneducated physicians and philosophers	Right to hold professional titles	Unqualified use of professional titles		
tlg0086.tlg010.perseus-eng2	Aristotle	Nicomachean Ethics	Scientific knowledge transmissibility	Learners	Right to acquire scientific knowledge through teaching	not clear what one talks about; the learner as a group is not really an in-group, because it respects the group's immutability. Maybe after one should look for the different classified groups and remove some.	GONE	0.16	0.0	0.43	0.11	the educated	Scientific knowledge through demonstration	Knowledge via scientific demonstration		
tlg0719.tlg001.perseus-eng2	Aretaeus of Cappadocia	On the causes and signs of acute and chronic diseases	Physician non-intervention rule	Physicians	Right to perform corrective surgery on living patients	way too niche, or the medical asdpect is hard to juge	GONE	0.037	0.0	0.12	0.0	Women	Right to medical recovery	Female recovery from tetanus		
tlg0540.tlg013.perseus-eng2	Lysias	Against Agoratus	Duty of blood vengeance	Legitimate sons	Right to receive paternal mandates for vengeance	the mandate for vengeance is not enought of a material ressource	GONE	0.187	0.33	0.11	0.07	Adopted sons	Right to retain adoptive father's assets	Adoptive son maintenance obligations		
tlg0086.tlg025.perseus-eng2	Aristotle	Metaphysics	Scientific previous knowledge exemption	Novice students	Exemption from prior specialized knowledge	the ressource is way too vague and the novice students is not an immutable groups (like some can decide or not to learn something)	NO V19 RULES	0.0								
tlg0525.tlg001.perseus-eng2	Pausanias	Description of Greece	Female ritual purification	Women	Right to religious purification	that looks like a legend, and I don't knwo if this is a right or an obligation, the ressouce is not clear enouhg	NO V19 RULES	0.0								
tlg0031.tlg005.perseus-eng2	New Testament		Proselyte assembly participation	Proselytes	Right to attend synagogue services	from the verbatim, this is clealry just an alone event, not a general rule of society	REFORMULATED	0.4	0.0	0.33	1.0	Metics / Foreigners	Right to participate in synagogue assemblies	Proselyte synagogue participation		
tlg0086.tlg035.perseus-eng2	Aristotle	Politics	Universalized nobility	Nobles	Absolute status of nobility	the ressource is not relay material, because they considered themselevs that wya, it does not mean that they actually are	REFORMULATED	0.36	0.0	0.2	1.0	Barbarians	Recognition of noble status	Absolute vs relative nobility		
tlg0719.tlg003.perseus-eng2	Aretaeus of Cappadocia	On the causes and signs of acute and chronic diseases	Freedom from medically-induced unconsciousness	Patients	Protection from medically induced sleep or anesthesia	the ressouce if too specific, maybe lower at 6 the specificy	REFORMULATED	0.286	0.5	0.29	0.0	Pleurisy patients	Protection from bloodletting	Bloodletting for acute pleurisy		
tlg1419.tlg001.perseus-eng1	Hermas	The Shepherd of Hermas	Limited post-baptismal repentance	Baptized Christians	Right to single post-baptismal repentance	it is not clar who is the group form the verbatiml, and the ressource of repenténce is too loose	REFORMULATED	0.343	0.0	0.14	1.0	Religion	Access to formal repentance	Post-baptismal single repentance limit		
tlg0057.tlg010.perseus-eng2	Galen	On the Natural Faculties	Anatomical demonstration access	Physicians	Right to observe vivisection for proof	"the right is too lose ""Right to observe vivisection for proof"""	STILL PRESENT	0.453	1.0	0.14	0.03	physicians	Right to define physical reality	Physician identification of elementary qualities		
tlg0006.tlg018.perseus-eng2	Euripides	Iphigenia in Aulis	Paternal marital consent	Maidens	Right to choose spouse	this is mythology	STILL PRESENT	0.48	0.0	1.0	0.6	Women	Right to choose a spouse	Paternal authority over daughters' marriage		
tlg1443.tlg001.perseus-eng1	Ignatius of Antioch	Epistle of Ignatius to the Trallians	Church-funded slave manumission restriction	Slaves	Right to communal manumission funding	"This is metaphoric and does not clearly reflect ""Slaves"""	STILL PRESENT	0.761	1.0	0.75	0.45	Slaves	Right to communal manumission	Slave manumission restriction		
tlg1216.tlg001.perseus-eng1	Barnabas	Epistle of Barnabas	Jewish temple exclusion	The people of Israel	Right to a physical temple facility		STILL PRESENT	0.658	0.33	0.75	1.0	Jewish people	Right to a physical temple	Jewish exclusion from the Temple		
tlg1216.tlg001.perseus-eng1	Barnabas	Epistle of Barnabas	Jewish ritual circumcision abolition	Jews	Validity of physical circumcision as a religious seal	this does not look about the contempory work	STILL PRESENT	0.88	1.0	0.6	1.0	Jews	Validity of physical circumcision	Abolition of fleshly circumcision		
tlg1216.tlg001.perseus-eng1	Barnabas	Epistle of Barnabas	Jewish covenantal loss	Jews	Right to the divine covenant	This is about Moses, and this is about a divide, right, which should not be taken into account	STILL PRESENT	0.744	1.0	1.0	0.15	Jews	Right to the divine covenant	Jewish exclusion from the Covenant		
tlg1216.tlg001.perseus-eng1	Barnabas	Epistle of Barnabas	Jewish covenantal forfeiture	Jews	Right to the divine covenant	this is about Moses and this is about a divide right, which should not be taken into account	STILL PRESENT	0.904	1.0	1.0	0.68	Jews	Right to the divine covenant	Jewish exclusion from the Covenant		
tlg0031.tlg005.perseus-eng2	New Testament		Roman trial requirement	Roman citizens	Right to a public trial	The verbatim is not sufficiently exact.	STILL PRESENT	0.616	1.0	0.29	0.43	Roman Citizens	Protection from public beating without trial	Roman protection from summary punishment		
tlg0019.tlg003.perseus-eng2	Aristophanes	The Clouds	Bacchic festival participation	Citizens	Right to participate in state-sponsored musical and theatrical festivals	not clear that this is a resource dedicated to citizens	STILL PRESENT	0.474	1.0	0.22	0.02	Citizens	Right to participate in initiation rites	Access to sacred mystic rites		
tlg0062.tlg068.perseus-eng4	Lucian	Dialogues of the Gods	Slave right to transfer	Slaves	Right to change masters through sale	This is clearly not a chance, and the author may be talking abotu someione who compares its situation and does not feel happy about it	STILL PRESENT	0.88	1.0	0.6	1.0	Slaves	Right to change masters	Mortal slave right of resale		
tlg1216.tlg001.perseus-eng1	Barnabas	Epistle of Barnabas	Gentile inclusion in covenant	Gentiles	Inclusion in the divine covenant	this is a device ressource	STILL PRESENT	0.582	1.0	0.0	0.61	Gentiles	Access to spiritual salvation	Gentile access to salvation		
